Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Belgium,Country_Brazil,Country_Denmark,Country_England,Country_Germany,Country_Mexico,Country_Scotland,Country_Slovenia,Country_Spain,Country_nan
Sam De Graeve,19,69,Determined,2753,16.5,2041-06-30,10750.0,0.0,Belgium (Jupiler Pro League),Jupiler Pro League,2037-01-07,,12,12,7,13,7,12,15,10,14,5,14,11,14,20,17,12,7,15,13,11,13,15,5,14,14,15,11,10,2,6,7,4,14,10,5,9,Sct,-,-,Not set,- - -,0,0,Belgium,1095.0,17.521560574948666,1.4784394250513346,4,491.0,True,False,False,False,False,False,False,False,False,False
Paulo Roberto,21,67,Temperamental,3988,4.5,2042-12-31,11750.0,0.0,Brazil (Second Division),Brazilian National Second Division,2037-06-06,,15,11,9,13,7,12,16,6,11,8,15,13,14,17,15,16,5,11,11,10,15,16,7,13,13,15,9,9,4,7,10,6,13,14,8,8,Wnt,6.78,35,By request,- - -,35,1,Brazil,1644.0,19.93223819301848,1.0677618069815196,1,446.0,False,True,False,False,False,False,False,False,False,False
Ben Doak,32,66,Driven,7642,0.0,,,,Scotland,-,,72.0,15,13,13,15,13,13,15,9,14,7,12,14,13,18,18,16,2,15,11,11,15,15,12,15,10,15,6,9,5,8,7,7,15,14,9,15,Wnt,-,-,Not set,- - -,0,0,Scotland,,,,4,0.0,False,False,False,False,False,False,True,False,False,False
Rayan,31,73,Resolute,6294,0.0,,,,Brazil,-,,16.0,10,12,12,13,11,14,13,11,15,11,12,12,12,15,17,15,15,14,14,14,16,14,11,12,15,14,12,12,9,8,9,8,14,11,9,15,Wnt,-,-,Not set,- - -,0,0,Brazil,,,,4,0.0,False,True,False,False,False,False,False,False,False,False
Max Grantham,23,70,Fairly Professional,3612,0.0,,,,England,-,,0.375,16,13,10,11,8,9,14,14,13,7,12,8,9,10,18,13,7,18,13,12,11,14,10,14,7,13,7,8,7,8,5,7,14,15,7,14,Wnt,-,-,Not set,- - -,0,0,England,,,,4,0.0,False,False,False,True,False,False,False,False,False,False
Olivier Tournier,20,77,Fairly Professional,3243,6.35,2039-06-30,23000.0,,England (Premier Division),English Premier Division,2038-06-22,0.6,14,12,7,14,6,11,13,15,12,4,7,7,11,11,13,12,14,11,12,10,13,13,7,11,13,12,12,7,4,5,6,1,12,11,5,11,,-,-,Not set,- - -,0,0,England,364.0,19.975359342915812,0.024640657084188913,4,500.0,False,False,False,True,False,False,False,False,False,False
José Juan Marroquín,21,72,Balanced,4445,6.699999999999999,2042-06-30,16750.0,0.0,Mexico (First Division),Mexican First Division,2037-09-05,,11,13,6,12,9,13,15,8,14,7,8,12,11,12,16,16,13,14,17,13,15,15,14,15,8,13,9,13,4,5,6,6,15,15,4,13,Int,-,-,Not set,- - -,0,0,Mexico,1460.0,20.1813826146475,0.8186173853524983,3,489.0,False,False,False,False,False,True,False,False,False,False
Geison,20,73,Resolute,2540,0.956,2040-12-31,3400.0,0.0,Brazil (First Division),Brazilian National First Division,2036-08-14,,10,13,8,13,7,11,13,5,12,6,16,13,12,15,14,13,14,12,12,11,8,13,6,15,12,15,14,12,5,6,7,4,14,14,9,8,Wnt,7.00,0 (1),Not set,- - -,1,0,Brazil,914.0,18.12183436002738,1.8781656399726214,4,493.0,False,True,False,False,False,False,False,False,False,False
Giuliano Muñoz,25,75,Spirited,3104,0.09899999999999999,2038-12-31,18000.0,3.5,Brazil (First Division),Brazilian National First Division,2035-03-12,2.9,7,13,9,14,10,12,15,7,14,10,10,17,13,15,16,18,15,15,13,14,18,12,9,12,12,13,7,12,4,6,14,8,15,14,6,9,Bid,6.58,0 (15),Not set,- - -,15,0,Brazil,183.0,21.695414099931554,3.3045859000684463,4,493.0,False,True,False,False,False,False,False,False,False,False
Vittorio Fascendini,22,69,Driven,3554,22.25,2042-06-30,39000.0,0.0,England (Sky Bet Championship),Sky Bet Championship,2037-06-11,,8,10,9,13,9,15,15,9,14,8,11,15,13,19,16,15,10,13,14,11,15,14,10,14,14,15,5,8,5,9,11,8,15,12,4,13,Wnt,-,-,Not set,- - -,0,0,England,1460.0,20.94592744695414,1.054072553045859,4,480.0,False,False,False,True,False,False,False,False,False,False
Tom Davies,26,70,Resolute,3908,8.5,2039-06-30,35500.0,9.0,England (Premier Division),English Premier Division,2037-06-15,7.25,8,11,8,13,7,13,16,13,14,7,10,15,14,17,15,13,8,14,13,12,12,13,6,13,14,12,7,12,6,5,7,3,16,14,8,11,Sct,-,-,Not set,- - -,0,0,England,364.0,24.95687885010267,1.0431211498973305,4,500.0,False,False,False,True,False,False,False,False,False,False
Òscar Caballé,26,71,Driven,3884,4.0,2043-06-30,29500.0,1.5,Spain (First Division),Spanish First Division,2037-08-30,1.3,12,13,16,10,7,13,15,7,14,7,13,12,12,20,17,13,12,14,13,10,15,15,6,13,12,12,4,6,1,8,4,6,14,12,7,13,Bid,6.99,39 (1),By request,- - -,40,1,Spain,1825.0,25.16495550992471,0.8350444900752909,4,499.0,False,False,False,False,False,False,False,False,True,False
Lucas Soares,22,69,Balanced,3540,3.175,2040-12-31,12250.0,0.0,Brazil (First Division),Brazilian National First Division,2036-02-01,,7,13,10,11,7,11,16,15,13,5,11,12,12,12,13,16,6,14,13,9,14,15,8,16,12,13,7,8,4,6,6,5,14,16,3,13,,6.91,33 (1),Not set,- - -,34,0,Brazil,914.0,19.587953456536617,2.412046543463381,3,493.0,False,True,False,False,False,False,False,False,False,False
Mauro Alzamora,20,69,Resolute,5883,9.0,2041-06-30,78000.0,8.75,Spain (First Division),Spanish First Division,2037-01-10,8.75,9,13,7,14,10,13,16,13,15,7,12,14,10,17,17,15,5,12,10,11,15,14,12,16,16,16,11,12,1,4,11,1,16,12,6,11,Wnt,6.90,0 (2),By request,- - -,2,1,Spain,1095.0,18.529774127310063,1.4702258726899384,4,499.0,False,False,False,False,False,False,False,False,True,False
Chérubin Zola,21,73,Driven,3837,30.5,2041-06-30,47500.0,0.0,England (Premier Division),English Premier Division,2037-02-06,,6,13,9,17,9,12,16,15,14,8,12,14,9,18,16,16,12,14,11,12,14,15,11,17,9,15,10,13,1,7,8,7,16,13,8,9,Sct,-,-,Not set,- - -,0,0,England,1095.0,19.60369609856263,1.3963039014373717,4,500.0,False,False,False,True,False,False,False,False,False,False
Henrik Jørgensen Kongsted,23,71,Fairly Professional,3469,3.3,2039-12-31,13000.0,0.0,Denmark (3F Superliga),3F Superliga,2037-07-10,,12,13,16,12,11,13,16,8,13,7,9,16,8,10,15,13,9,13,13,10,16,13,14,13,11,15,14,13,2,8,18,2,16,16,9,12,,-,-,Not set,- - -,0,0,Denmark,548.0,22.025325119780973,0.974674880219028,4,485.0,False,False,True,False,False,False,False,False,False,False
Tine Cerar,25,72,Perfectionist,3449,0.55,2040-06-30,850.0,,Slovenia (First League),Slovenian First League,2035-07-30,,17,14,6,17,12,14,13,7,13,10,9,15,10,17,14,14,13,14,11,14,13,13,6,14,7,16,9,9,4,5,3,5,15,14,4,10,,-,-,Not set,- - -,0,0,Slovenia,730.0,22.078713210130047,2.921286789869952,4,455.0,False,False,False,False,False,False,False,True,False,False
Toninho,19,72,Balanced,2847,9.2,2042-06-30,14500.0,4.7,Germany (Bundesliga),Bundesliga,2037-07-14,4.7,8,13,13,12,9,15,14,7,14,9,11,12,14,14,12,13,12,12,11,11,7,11,9,15,15,12,12,11,6,6,9,6,15,12,7,14,Wnt,-,-,Not set,- - -,0,0,Germany,1460.0,18.0362765229295,0.9637234770704997,3,497.0,False,False,False,False,True,False,False,False,False,False
Tom Gotlieb,18,70,Fairly Professional,1697,4.2749999999999995,2040-06-30,1900.0,0.0,England (Sky Bet League One),Sky Bet League One,2038-01-21,,10,10,13,11,8,12,15,7,12,5,10,12,13,12,16,15,6,15,10,9,11,12,7,13,8,13,7,11,5,5,8,5,14,14,7,12,Sct,-,-,Not set,- - -,0,0,England,730.0,17.55920602327173,0.4407939767282683,4,433.0,False,False,False,True,False,False,False,False,False,False
Nicolai Carlsen,18,72,Fairly Professional,2341,13.25,2040-06-30,1800.0,0.0,Denmark (3F Superliga),3F Superliga,2037-07-12,,9,15,15,13,9,14,15,6,13,6,12,12,9,12,13,9,14,13,9,12,7,12,9,15,9,17,12,10,4,7,10,5,16,13,7,11,,-,-,Not set,- - -,0,0,Denmark,730.0,17.030800821355236,0.9691991786447639,4,485.0,False,False,True,False,False,False,False,False,False,False
Alex,18,75,Balanced,1593,1.675,2041-12-31,1100.0,0.0,Brazil (First Division),Brazilian National First Division,2037-12-13,,7,11,11,10,8,10,12,14,11,5,11,11,13,12,14,11,13,12,14,12,16,15,7,13,11,16,8,10,3,3,6,5,14,13,7,12,Sct,6.47,0 (6),Not set,- - -,6,0,Brazil,1279.0,17.45242984257358,0.5475701574264202,3,493.0,False,True,False,False,False,False,False,False,False,False
